id_encuestador,latitud,longitud,municipio,municipio_texto,P19_1_texto,P19_2_texto,seccion_electoral,Creation Date,Modified Date
123,,,1,Acapulco,Iván Hernández Díaz,Jacinto González Varona,306,"Dec 4, 2025 12:21 pm","Dec 4, 2025 12:42 pm"
15,16.8639515,-99.8822807,1,Acapulco,Félix Salgado Macedonio,Javier Saldaña Almazán,28,"Dec 4, 2025 12:21 pm","Dec 4, 2025 12:49 pm"
150,,,1,Acapulco,,,157,"Dec 4, 2025 12:22 pm","Dec 4, 2025 12:22 pm"
150,,,1,Acapulco,,,157,"Dec 4, 2025 12:22 pm","Dec 4, 2025 12:22 pm"
150,,,1,Acapulco,,,157,"Dec 4, 2025 12:22 pm","Dec 4, 2025 12:27 pm"
150,,,1,Acapulco,,,157,"Dec 4, 2025 12:22 pm","Dec 4, 2025 12:22 pm"
15,16.8595547,-99.885578,1,Acapulco,Iván Hernández Díaz,Jacinto González Varona,28,"Dec 4, 2025 12:22 pm","Dec 4, 2025 12:59 pm"
110,,,1,Acapulco,,,169,"Dec 4, 2025 12:23 pm","Dec 4, 2025 12:26 pm"
123,,,1,Acapulco,Jacinto González Varona,Iván Hernández Díaz,165,"Dec 4, 2025 12:25 pm","Dec 4, 2025 12:46 pm"
120,,,1,Acapulco,Jacinto González Varona,Iván Hernández Díaz,150,"Dec 4, 2025 12:25 pm","Dec 4, 2025 12:55 pm"
123,,,1,Acapulco,Iván Hernández Díaz,Jacinto González Varona,317,"Dec 4, 2025 12:26 pm","Dec 4, 2025 12:42 pm"
1,,,1,Acapulco,No respondió (NO LEER),,377,"Dec 4, 2025 12:26 pm","Dec 4, 2025 12:48 pm"
1,,,1,Acapulco,,,284,"Dec 4, 2025 12:19 pm","Dec 4, 2025 12:19 pm"
1,,,1,Acapulco,Iván Hernández Díaz,Jacinto González Varona,20,"Dec 4, 2025 12:28 pm","Dec 4, 2025 12:45 pm"
11,,,1,Acapulco,,,169,"Dec 4, 2025 12:29 pm","Dec 4, 2025 12:49 pm"
123,,,1,Acapulco,Iván Hernández Díaz,Esthela Damián Peralta,267,"Dec 4, 2025 12:30 pm","Dec 4, 2025 12:51 pm"
110,,,1,Acapulco,,,157,"Dec 4, 2025 12:31 pm","Dec 4, 2025 12:31 pm"
110,,,1,Acapulco,Esthela Damián Peralta,Iván Hernández Díaz,157,"Dec 4, 2025 12:31 pm","Dec 4, 2025 12:51 pm"
3,,,1,Acapulco,,,1,"Dec 4, 2025 12:31 pm","Dec 4, 2025 12:31 pm"
120,,,1,Acapulco,,,157,"Dec 4, 2025 12:31 pm","Dec 4, 2025 12:31 pm"
110,,,1,Acapulco,,,157,"Dec 4, 2025 12:31 pm","Dec 4, 2025 12:31 pm"
150,,,1,Acapulco,Jacinto González Varona,,157,"Dec 4, 2025 12:33 pm","Dec 4, 2025 12:46 pm"
3,,,1,Acapulco,,,1,"Dec 4, 2025 12:34 pm","Dec 4, 2025 12:34 pm"
3,,,1,Acapulco,,,1,"Dec 4, 2025 12:36 pm","Dec 4, 2025 12:36 pm"
3,,,1,Acapulco,,,1,"Dec 4, 2025 12:38 pm","Dec 4, 2025 12:38 pm"
3,,,1,Acapulco,,,1,"Dec 4, 2025 12:39 pm","Dec 4, 2025 12:39 pm"
3,,,1,Acapulco,,,1,"Dec 4, 2025 12:40 pm","Dec 4, 2025 12:40 pm"
123,,,1,Acapulco,,,306,"Dec 4, 2025 12:42 pm","Dec 4, 2025 12:43 pm"
2,,,1,Acapulco,No sabe (NO LEER),,47,"Dec 4, 2025 12:43 pm","Dec 4, 2025 12:52 pm"
2,,,1,Acapulco,,,47,"Dec 4, 2025 12:43 pm","Dec 4, 2025 12:43 pm"
150,,,3,Iguala,,,1541,"Dec 4, 2025 12:44 pm","Dec 4, 2025 12:44 pm"
153,,,3,Iguala,,,1484,"Dec 4, 2025 12:48 pm","Dec 4, 2025 12:54 pm"
150,18.3378818,-99.5468355,3,Iguala,Beatriz Mojica Morga,Iván Hernández Díaz,1542,"Dec 4, 2025 12:49 pm","Dec 4, 2025 1:07 pm"
3,,,3,Iguala,,,1482,"Dec 4, 2025 12:49 pm","Dec 4, 2025 12:56 pm"
150,39.3402924,-8.9327594,3,Iguala,,,157,"Dec 4, 2025 12:50 pm","Dec 4, 2025 1:08 pm"
150,18.3269257,-99.4940096,3,Iguala,Iván Hernández Díaz,Ninguno (NO LEER),1542,"Dec 4, 2025 12:53 pm","Dec 4, 2025 1:08 pm"
150,18.3763283,-99.5312466,3,Iguala,Iván Hernández Díaz,Beatriz Mojica Morga,1496,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:11 pm"
150,18.341727,-99.5539734,3,Iguala,Iván Hernández Díaz,Javier Saldaña Almazán,1536,"Dec 4, 2025 12:53 pm","Dec 4, 2025 1:07 pm"
150,18.3408875,-99.5527453,3,Iguala,,,1524,"Dec 4, 2025 12:54 pm","Dec 4, 2025 12:58 pm"
150,48.9035194,2.3058033,3,Iguala,,,1541,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:08 pm"
150,18.3384475,-99.5447443,3,Iguala,Iván Hernández Díaz,Félix Salgado Macedonio,1540,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:09 pm"
150,18.3384475,-99.5447443,3,Iguala,,,1540,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:08 pm"
150,18.3453603,-99.536755,3,Iguala,Abelina López Rodríguez,Esthela Damián Peralta,1527,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:08 pm"
154,,,3,Iguala,No sabe (NO LEER),,1542,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:13 pm"
150,18.326432,-99.5054309,3,Iguala,,,1517,"Dec 4, 2025 12:54 pm","Dec 4, 2025 12:57 pm"
150,18.3352135,-99.5304442,3,Iguala,Iván Hernández Díaz,No sabe (NO LEER),1523,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:08 pm"
150,18.3446994,-99.5427119,3,Iguala,Ninguno (NO LEER),,1531,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:09 pm"
150,6.4428257,-75.7277669,3,Iguala,Ninguno (NO LEER),,1492,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:13 pm"
150,18.3557585,-99.5404593,3,Iguala,,,1486,"Dec 4, 2025 12:54 pm","Dec 4, 2025 1:09 pm"
