seccion_electoral,municipio,municipio_texto,id_encuestador,latitud,longitud,fecha_hora,Modified Date,tiene_gps
1270,2,Chilpancingo,3211,17.5508259,-99.5014623,2025-12-05 10:00:00,"Dec 5, 2025 10:15 am",True
111,1,Acapulco,10360,16.9200333,-99.8417862,2025-12-05 10:00:00,"Dec 5, 2025 10:28 am",True
121,1,Acapulco,10357,,,2025-12-05 10:00:00,"Dec 5, 2025 10:33 am",False
114,1,Acapulco,10401,16.9258597,-99.8129575,2025-12-05 10:01:00,"Dec 5, 2025 10:26 am",True
157,1,Acapulco,101720,,,2025-12-05 10:01:00,"Dec 5, 2025 10:52 am",False
296,1,Acapulco,10803,,,2025-12-05 10:02:00,"Dec 5, 2025 10:08 am",False
1,1,Acapulco,10105,16.8754687,-99.8246079,2025-12-05 10:02:00,"Dec 5, 2025 10:20 am",True
1527,3,Iguala,323,,,2025-12-05 10:02:00,"Dec 5, 2025 10:24 am",False
1527,3,Iguala,323,,,2025-12-05 10:02:00,"Dec 5, 2025 10:02 am",False
113,1,Acapulco,10410,,,2025-12-05 10:03:00,"Dec 5, 2025 10:25 am",False
1270,2,Chilpancingo,2310,,,2025-12-05 10:03:00,"Dec 5, 2025 10:15 am",False
1527,3,Iguala,321,,,2025-12-05 10:03:00,"Dec 5, 2025 10:23 am",False
247,1,Acapulco,10103,,,2025-12-05 10:04:00,"Dec 5, 2025 10:29 am",False
120,1,Acapulco,10413,,,2025-12-05 10:03:00,"Dec 5, 2025 10:13 am",False
1527,3,Iguala,322,,,2025-12-05 10:03:00,"Dec 5, 2025 10:04 am",False
247,1,Acapulco,10103,,,2025-12-05 10:04:00,"Dec 5, 2025 10:04 am",False
1527,3,Iguala,326,,,2025-12-05 10:04:00,"Dec 5, 2025 10:24 am",False
208,1,Acapulco,7,,,2025-12-05 10:05:00,"Dec 5, 2025 10:05 am",False
306,1,Acapulco,10802,16.8347067,-99.800361,2025-12-05 10:05:00,"Dec 5, 2025 10:59 am",True
165,1,Acapulco,10365,,,2025-12-05 10:06:00,"Dec 5, 2025 10:21 am",False
305,1,Acapulco,10111,,,2025-12-05 10:06:00,"Dec 5, 2025 10:25 am",False
165,1,Acapulco,10364,,,2025-12-05 10:07:00,"Dec 5, 2025 10:22 am",False
1218,2,Chilpancingo,228,17.562795,-99.4969146,2025-12-05 10:07:00,"Dec 5, 2025 10:28 am",True
114,1,Acapulco,10402,,,2025-12-05 10:08:00,"Dec 5, 2025 10:22 am",False
246,1,Acapulco,10102,,,2025-12-05 10:08:00,"Dec 5, 2025 10:44 am",False
121,1,Acapulco,10355,,,2025-12-05 10:09:00,"Dec 5, 2025 10:29 am",False
278,1,Acapulco,10115,,,2025-12-05 10:09:00,"Dec 5, 2025 10:32 am",False
278,1,Acapulco,10116,,,2025-12-05 10:09:00,"Dec 5, 2025 10:36 am",False
278,1,Acapulco,10117,,,2025-12-05 10:09:00,"Dec 5, 2025 10:44 am",False
118,1,Acapulco,10403,,,2025-12-05 10:09:00,"Dec 5, 2025 10:29 am",False
1521,3,Iguala,3411,,,2025-12-05 10:10:00,"Dec 5, 2025 10:10 am",False
136,1,Acapulco,10411,,,2025-12-05 10:10:00,"Dec 5, 2025 10:24 am",False
278,1,Acapulco,10114,,,2025-12-05 10:10:00,"Dec 5, 2025 10:36 am",False
296,1,Acapulco,10803,,,2025-12-05 10:10:00,"Dec 5, 2025 10:17 am",False
278,1,Acapulco,10113,,,2025-12-05 10:11:00,"Dec 5, 2025 10:59 am",False
278,1,Acapulco,10118,,,2025-12-05 10:11:00,"Dec 5, 2025 10:30 am",False
185,1,Acapulco,10806,,,2025-12-05 10:11:00,"Dec 5, 2025 10:11 am",False
1265,2,Chilpancingo,248,17.5585937,-99.5059056,2025-12-05 10:12:00,"Dec 5, 2025 10:39 am",True
145,1,Acapulco,10351,,,2025-12-05 10:12:00,"Dec 5, 2025 10:48 am",False
1522,3,Iguala,342,,,2025-12-05 10:13:00,"Dec 5, 2025 10:13 am",False
1522,3,Iguala,341,,,2025-12-05 10:15:00,"Dec 5, 2025 10:43 am",False
118,1,Acapulco,10403,,,2025-12-05 10:13:00,"Dec 5, 2025 10:28 am",False
120,1,Acapulco,10414,,,2025-12-05 10:14:00,"Dec 5, 2025 10:15 am",False
1259,2,Chilpancingo,223,17.5430005,-99.5220455,2025-12-05 10:14:00,"Dec 5, 2025 10:26 am",True
21,1,Acapulco,10512,16.8764895,-99.9095335,2025-12-05 10:15:00,"Dec 5, 2025 10:50 am",True
120,1,Acapulco,10413,,,2025-12-05 10:15:00,"Dec 5, 2025 10:50 am",False
120,1,Acapulco,10414,,,2025-12-05 10:16:00,"Dec 5, 2025 10:28 am",False
1527,3,Iguala,324,18.3396752,-99.537862,2025-12-05 10:16:00,"Dec 5, 2025 10:19 am",True
37,1,Acapulco,24,,,2025-12-05 10:16:00,"Dec 5, 2025 10:31 am",False
25,1,Acapulco,21,16.8639515,-99.8822807,2025-12-05 10:18:00,"Dec 5, 2025 10:39 am",True
1270,2,Chilpancingo,2310,,,2025-12-05 10:18:00,"Dec 5, 2025 10:29 am",False
1226,2,Chilpancingo,210,,,2025-12-05 10:18:00,"Dec 5, 2025 10:18 am",False
145,1,Acapulco,10361,,,2025-12-05 10:18:00,"Dec 5, 2025 10:18 am",False
37,1,Acapulco,33,,,2025-12-05 10:19:00,"Dec 5, 2025 10:32 am",False
1270,2,Chilpancingo,2311,17.5358537,-99.4791414,2025-12-05 10:19:00,"Dec 5, 2025 10:29 am",True
1527,3,Iguala,329,,,2025-12-05 10:19:00,"Dec 5, 2025 10:29 am",False
296,1,Acapulco,10803,,,2025-12-05 10:20:00,"Dec 5, 2025 10:30 am",False
66,1,Acapulco,23,19.1365311,-104.3402796,2025-12-05 10:21:00,"Dec 5, 2025 10:40 am",True
279,1,Acapulco,10171,,,2025-12-05 10:21:00,"Dec 5, 2025 10:37 am",False
37,1,Acapulco,34,,,2025-12-05 10:22:00,"Dec 5, 2025 10:42 am",False
21,1,Acapulco,10511,16.8784249,-99.9104913,2025-12-05 10:22:00,"Dec 5, 2025 10:48 am",True
2835,1,Acapulco,10347,,,2025-12-05 10:22:00,"Dec 5, 2025 10:50 am",False
208,1,Acapulco,101718,,,2025-12-05 10:22:00,"Dec 5, 2025 10:35 am",False
208,1,Acapulco,101718,,,2025-12-05 10:22:00,"Dec 5, 2025 10:22 am",False
66,1,Acapulco,40,16.8596581,-99.9070495,2025-12-05 10:23:00,"Dec 5, 2025 10:50 am",True
145,1,Acapulco,10362,,,2025-12-05 10:24:00,"Dec 5, 2025 10:45 am",False
1226,2,Chilpancingo,210,17.5600329,-99.505131,2025-12-05 10:25:00,"Dec 5, 2025 10:50 am",True
105,1,Acapulco,27,,,2025-12-05 10:25:00,"Dec 5, 2025 11:22 am",False
121,1,Acapulco,10356,,,2025-12-05 10:26:00,"Dec 5, 2025 10:45 am",False
247,1,Acapulco,10104,16.8754687,-99.8246079,2025-12-05 10:26:00,"Dec 5, 2025 10:39 am",True
1527,3,Iguala,326,18.3396752,-99.537862,2025-12-05 10:26:00,"Dec 5, 2025 10:28 am",True
1271,2,Chilpancingo,239,,,2025-12-05 10:27:00,"Dec 5, 2025 10:44 am",False
271,1,Acapulco,10805,16.8709042,-99.8731384,2025-12-05 10:27:00,"Dec 5, 2025 11:04 am",True
111,1,Acapulco,10359,16.9200333,-99.8417862,2025-12-05 10:27:00,"Dec 5, 2025 10:42 am",True
1271,2,Chilpancingo,238,17.5254015,-99.4794237,2025-12-05 10:27:00,"Dec 5, 2025 10:56 am",True
111,1,Acapulco,10358,16.9200333,-99.8417862,2025-12-05 10:28:00,"Dec 5, 2025 10:39 am",True
1499,3,Iguala,312,,,2025-12-05 10:28:00,"Dec 5, 2025 10:31 am",False
208,1,Acapulco,7,,,2025-12-05 10:28:00,"Dec 5, 2025 10:28 am",False
120,1,Acapulco,10414,,,2025-12-05 10:28:00,"Dec 5, 2025 11:07 am",False
1499,3,Iguala,311,,,2025-12-05 10:28:00,"Dec 5, 2025 10:31 am",False
1,1,Acapulco,10105,,,2025-12-05 10:28:00,"Dec 5, 2025 10:29 am",False
1,1,Acapulco,10105,,,2025-12-05 10:29:00,"Dec 5, 2025 10:29 am",False
305,1,Acapulco,10112,,,2025-12-05 10:29:00,"Dec 5, 2025 10:29 am",False
157,1,Acapulco,101720,,,2025-12-05 10:30:00,"Dec 5, 2025 11:12 am",False
1218,2,Chilpancingo,228,17.5627687,-99.4963943,2025-12-05 10:30:00,"Dec 5, 2025 10:32 am",True
157,1,Acapulco,101719,,,2025-12-05 10:30:00,"Dec 5, 2025 10:57 am",False
296,1,Acapulco,10803,,,2025-12-05 10:31:00,"Dec 5, 2025 10:40 am",False
121,1,Acapulco,10355,,,2025-12-05 10:31:00,"Dec 5, 2025 10:31 am",False
1265,2,Chilpancingo,242,17.5380607,-99.5179542,2025-12-05 10:32:00,"Dec 5, 2025 11:07 am",True
1257,2,Chilpancingo,232,17.5449647,-99.4835919,2025-12-05 10:33:00,"Dec 5, 2025 10:39 am",True
112,1,Acapulco,10360,16.9146049,-99.834117,2025-12-05 10:33:00,"Dec 5, 2025 10:46 am",True
1259,2,Chilpancingo,227,17.5439249,-99.5204202,2025-12-05 10:34:00,"Dec 5, 2025 10:51 am",True
1522,3,Iguala,344,18.3270669,-99.5228716,2025-12-05 10:34:00,"Dec 5, 2025 11:18 am",True
1259,2,Chilpancingo,226,17.5439249,-99.5204202,2025-12-05 10:34:00,"Dec 5, 2025 10:48 am",True
278,1,Acapulco,10115,,,2025-12-05 10:34:00,"Dec 5, 2025 11:04 am",False
1499,3,Iguala,312,,,2025-12-05 10:34:00,"Dec 5, 2025 10:36 am",False
1259,2,Chilpancingo,225,17.5439249,-99.5204202,2025-12-05 10:34:00,"Dec 5, 2025 10:49 am",True
1499,3,Iguala,311,,,2025-12-05 10:35:00,"Dec 5, 2025 10:36 am",False
118,1,Acapulco,10403,,,2025-12-05 10:35:00,"Dec 5, 2025 10:52 am",False
1492,3,Iguala,317,18.3453803,-99.5348057,2025-12-05 10:36:00,"Dec 5, 2025 10:39 am",True
1492,3,Iguala,314,18.3453803,-99.5348057,2025-12-05 10:36:00,"Dec 5, 2025 10:40 am",True
1492,3,Iguala,318,18.3453803,-99.5348057,2025-12-05 10:36:00,"Dec 5, 2025 10:54 am",True
1270,2,Chilpancingo,2310,,,2025-12-05 10:36:00,"Dec 5, 2025 10:36 am",False
136,1,Acapulco,10411,,,2025-12-05 10:36:00,"Dec 5, 2025 10:48 am",False
1492,3,Iguala,313,18.3453803,-99.5348057,2025-12-05 10:36:00,"Dec 5, 2025 11:05 am",True
1492,3,Iguala,313,,,2025-12-05 10:36:00,"Dec 5, 2025 10:36 am",False
114,1,Acapulco,10401,,,2025-12-05 10:37:00,"Dec 5, 2025 10:39 am",False
1499,3,Iguala,311,,,2025-12-05 10:37:00,"Dec 5, 2025 10:38 am",False
1,3,Iguala,315,18.3453603,-99.536755,2025-12-05 10:38:00,"Dec 5, 2025 11:19 am",True
1499,3,Iguala,312,,,2025-12-05 10:38:00,"Dec 5, 2025 10:38 am",False
208,1,Acapulco,1017187,16.8809706,-99.8148529,2025-12-05 10:38:00,"Dec 5, 2025 10:39 am",True
2831,3,Iguala,1238,18.3160056,-99.5659571,2025-12-05 10:40:00,"Dec 5, 2025 12:08 pm",True
1257,2,Chilpancingo,234,17.5449647,-99.4835919,2025-12-05 10:44:00,"Dec 5, 2025 11:16 am",True
1218,2,Chilpancingo,228,17.5627687,-99.4963943,2025-12-05 10:39:00,"Dec 5, 2025 10:52 am",True
2831,3,Iguala,1236,,,2025-12-05 10:39:00,"Dec 5, 2025 10:39 am",False
2831,3,Iguala,1235,18.3269086,-99.5534406,2025-12-05 10:39:00,"Dec 5, 2025 11:27 am",True
157,3,Iguala,3410,,,2025-12-05 10:37:00,"Dec 5, 2025 10:37 am",False
2831,3,Iguala,1233,,,2025-12-05 10:39:00,"Dec 5, 2025 10:39 am",False
171,1,Acapulco,10340,,,2025-12-05 10:39:00,"Dec 5, 2025 10:49 am",False
278,1,Acapulco,110116,,,2025-12-05 10:39:00,"Dec 5, 2025 10:39 am",False
2831,3,Iguala,1232,,,2025-12-05 10:40:00,"Dec 5, 2025 10:40 am",False
2831,3,Iguala,12310,18.3276701,-99.5587521,2025-12-05 10:40:00,"Dec 5, 2025 11:39 am",True
278,1,Acapulco,10116,16.8647984,-99.8606017,2025-12-05 10:40:00,"Dec 5, 2025 10:50 am",True
142,1,Acapulco,10353,,,2025-12-05 10:40:00,"Dec 5, 2025 10:55 am",False
2831,3,Iguala,12311,18.3160056,-99.5659571,2025-12-05 10:40:00,"Dec 5, 2025 11:36 am",True
1,1,Acapulco,10106,16.8754687,-99.8246079,2025-12-05 10:33:00,"Dec 5, 2025 10:54 am",True
133,1,Acapulco,10408,,,2025-12-05 10:40:00,"Dec 5, 2025 10:40 am",False
19,1,Acapulco,10515,,,2025-12-05 10:41:00,"Dec 5, 2025 10:45 am",False
133,1,Acapulco,10407,,,2025-12-05 10:41:00,"Dec 5, 2025 10:41 am",False
2831,3,Iguala,12309,18.3160056,-99.5659571,2025-12-05 10:41:00,"Dec 5, 2025 12:02 pm",True
114,1,Acapulco,10401,,,2025-12-05 10:41:00,"Dec 5, 2025 10:56 am",False
2831,3,Iguala,1231,18.3160056,-99.5659571,2025-12-05 10:41:00,"Dec 5, 2025 11:53 am",True
278,1,Acapulco,10118,,,2025-12-05 10:42:00,"Dec 5, 2025 11:07 am",False
25,1,Acapulco,25,16.8639515,-99.8822807,2025-12-05 10:42:00,"Dec 5, 2025 11:00 am",True
296,1,Acapulco,10803,,,2025-12-05 10:43:00,"Dec 5, 2025 10:53 am",False
171,1,Acapulco,10341,,,2025-12-05 10:43:00,"Dec 5, 2025 10:52 am",False
31,1,Acapulco,10507,,,2025-12-05 10:43:00,"Dec 5, 2025 11:03 am",False
1499,3,Iguala,311,,,2025-12-05 10:43:00,"Dec 5, 2025 10:44 am",False
2835,1,Acapulco,10348,,,2025-12-05 10:43:00,"Dec 5, 2025 10:57 am",False
113,1,Acapulco,10410,19.4400814,-99.1299452,2025-12-05 10:43:00,"Dec 5, 2025 11:01 am",True
247,1,Acapulco,10103,,,2025-12-05 10:44:00,"Dec 5, 2025 10:44 am",False
1492,3,Iguala,3111,18.3507619,-99.5315875,2025-12-05 10:44:00,"Dec 5, 2025 11:01 am",True
1492,3,Iguala,3110,18.3533633,-99.5308463,2025-12-05 10:44:00,"Dec 5, 2025 11:03 am",True
1265,2,Chilpancingo,243,,,2025-12-05 10:44:00,"Dec 5, 2025 11:00 am",False
1521,3,Iguala,346,18.3335455,-99.5235479,2025-12-05 10:44:00,"Dec 5, 2025 10:47 am",True
278,1,Acapulco,10114,,,2025-12-05 10:45:00,"Dec 5, 2025 11:03 am",False
1492,3,Iguala,319,18.3533633,-99.5308463,2025-12-05 10:44:00,"Dec 5, 2025 11:02 am",True
1521,3,Iguala,348,18.3335455,-99.5235479,2025-12-05 10:44:00,"Dec 5, 2025 11:22 am",True
1492,3,Iguala,316,,,2025-12-05 10:45:00,"Dec 5, 2025 10:45 am",False
26,1,Acapulco,29,,,2025-12-05 10:45:00,"Dec 5, 2025 10:45 am",False
